Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5551322578148763264,100.1563196,-49.1265308,15.776,2.642,3.829,3.7196,9.8654,29.97,nan,nan,6.577,M3.4,nan,0.40,0.998,nan,None
Gaia DR3 5508211891157320320,103.9773785,-49.9683242,19.279,3.419,1.251,2.9891,10.0590,29.75,nan,nan,6.874,M5.1,nan,nan,1.045,nan,None
Gaia DR3 5507182202817068160,110.0058676,-47.8638266,16.491,2.893,4.031,3.6519,10.1562,29.16,nan,nan,6.735,M3.9,nan,nan,1.046,nan,None
Gaia DR3 5556211075565637120,101.2594027,-44.5339499,15.803,2.911,1.203,3.4812,10.3392,29.67,43.48,4.71,6.806,M3.9,nan,0.37,1.121,nan,Gaia DR3
Gaia DR3 5503096795563712128,102.8652260,-49.2934894,7.575,0.109,4.600,2.5948,10.5879,29.81,24.74,0.74,6.960,A3.3,0.028254,-0.08,0.843,nan,Gaia DR3
Gaia DR3 5551290932829456768,100.8355417,-49.0716784,16.009,2.732,3.658,3.3224,10.9095,29.93,nan,nan,6.326,M3.6,0.001092,nan,1.045,nan,None
Gaia DR3 5558952982687365376,102.5274493,-44.7505677,14.221,1.941,4.025,2.7490,10.9499,29.60,2.89,3.73,6.255,M0.5,nan,0.08,1.598,nan,Gaia DR3
Gaia DR3 5562395416155466496,103.3717208,-42.9050498,16.061,2.726,4.276,4.2320,11.2081,29.38,nan,nan,6.603,M3.5,nan,0.16,1.037,nan,None
Gaia DR3 5555380974349836928,99.0237930,-46.5477742,17.906,3.289,1.066,3.9486,11.2952,29.94,nan,nan,6.419,M4.8,nan,nan,0.998,nan,None
Gaia DR3 5552485964529593856,100.3354075,-47.1897098,15.649,2.471,1.472,3.0088,11.3110,29.89,nan,nan,6.262,M2.9,0.001720,nan,1.051,nan,None
Gaia DR3 5562395416155465472,103.3697346,-42.9042450,14.274,2.004,4.162,4.2331,11.3577,29.38,12.08,5.74,6.524,M0.7,nan,0.16,0.980,nan,Gaia DR3
Gaia DR3 5558793931458609024,104.0247548,-44.9488537,16.496,2.864,3.340,2.1348,11.8045,29.50,nan,nan,6.168,M3.8,nan,nan,0.999,nan,None
Gaia DR3 5562601574585730944,104.4555929,-42.6065554,7.579,0.315,3.207,4.4217,11.8166,29.27,23.29,0.66,6.535,A7.4,0.023829,-0.06,3.596,nan,Gaia DR3
Gaia DR3 5507972167559966720,105.0732583,-50.1766084,16.578,2.803,4.596,3.1605,11.9493,29.67,nan,nan,6.243,M3.7,nan,nan,1.075,nan,None
Gaia DR3 5562420047789609088,104.1696112,-42.4909645,17.504,2.987,2.167,4.5511,12.1547,29.28,nan,nan,6.537,M4.1,nan,nan,1.082,nan,None
Gaia DR3 5556127817622335360,99.1024094,-44.9903943,19.236,3.726,1.497,4.4166,12.2196,29.84,nan,nan,6.762,M5.7,nan,nan,1.172,nan,None
Gaia DR3 5563082778424141184,102.0865364,-43.0562229,8.152,0.261,2.808,4.3902,12.3660,29.49,33.25,8.02,6.792,A7.0,0.022106,-0.05,1.186,0.017,Gaia DR3
Gaia DR3 5563088933115228800,102.1834534,-42.8342729,13.972,0.000,1.215,4.5655,12.3782,29.47,nan,nan,6.723,nan,0.000072,0.00,1.444,0.025,None
